Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_II sim,Pugnido_II data,Pugnido_II error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
30,2556,3491,0.26783156688627896,3,36,0.9166666666666666,628,10118,0.9379323977070567,109,846,0.8711583924349882,909,12,74.75,708,0,0.0,2058,1447,0.42225293711126466,0,0,0.0,781,492,0.5873983739837398,3,0,0.0,7,0,0.0,10,0,0.0,2,1935,0.9989664082687338,2,226,0.9911504424778761,53,304,0.8256578947368421,22,0,0.0,10,849,0.9882214369846879,26,27,0.03703703703703709,0,13,1.0,20,355,0.9436619718309859,0.8604039501761699,20151,20151,20151,7907,0
31,2661,3544,0.24915349887133187,3,36,0.9166666666666666,659,10198,0.9353794861737595,118,846,0.8605200945626478,962,25,37.48,751,0,0.0,2137,1495,0.4294314381270903,2,0,0.0,813,591,0.3756345177664975,7,0,0.0,7,0,0.0,10,0,0.0,2,1987,0.9989934574735783,2,226,0.9911504424778761,58,318,0.8176100628930818,25,0,0.0,11,850,0.9870588235294118,29,27,0.07407407407407418,0,13,1.0,22,362,0.9392265193370166,0.8504240179354713,20518,20518,20518,8279,0
32,2763,3597,0.23185988323603002,4,36,0.8888888888888888,696,10278,0.9322825452422651,125,846,0.8522458628841607,1025,37,26.7027027027027,794,0,0.0,2234,1544,0.4468911917098446,2,0,0.0,842,691,0.2185238784370478,7,0,0.0,11,0,0.0,10,0,0.0,4,2039,0.998038254046101,3,226,0.9867256637168141,62,332,0.8132530120481928,26,0,0.0,14,851,0.9835487661574618,29,27,0.07407407407407418,0,13,1.0,23,370,0.9378378378378378,0.8414324699573897,20887,20887,20887,8674,0
33,2866,3651,0.21500958641468093,6,36,0.8333333333333334,740,10358,0.9285576366093841,131,846,0.8451536643026005,1098,50,20.96,838,0,0.0,2322,1592,0.45854271356783927,2,0,0.0,873,791,0.10366624525916568,8,0,0.0,11,0,0.0,11,0,0.0,5,2091,0.9976087996174079,3,226,0.9867256637168141,64,346,0.815028901734104,27,0,0.0,16,852,0.9812206572769953,31,27,0.14814814814814814,0,13,1.0,24,378,0.9365079365079365,0.8328080161829045,21257,21257,21257,9076,0
34,2968,3704,0.1987041036717062,6,36,0.8333333333333334,767,10438,0.9265184901322092,138,846,0.8368794326241135,1154,62,17.612903225806452,868,0,0.0,2395,1640,0.46036585365853666,2,0,0.0,904,891,0.014590347923681302,9,0,0.0,13,0,0.0,11,0,0.0,5,2143,0.9976668222118525,3,226,0.9867256637168141,68,361,0.8116343490304709,29,0,0.0,18,853,0.9788980070339977,33,27,0.22222222222222232,0,13,1.0,25,385,0.935064935064935,0.8233526011560693,21625,21625,21625,9416,0
35,3051,3758,0.18813198509845663,6,36,0.8333333333333334,799,10518,0.9240349876402358,146,846,0.8274231678486997,1218,75,15.239999999999998,896,0,0.0,2469,1688,0.4626777251184835,3,0,0.0,939,991,0.052472250252270425,9,0,0.0,15,0,0.0,11,0,0.0,5,2194,0.9977210574293528,3,226,0.9867256637168141,74,375,0.8026666666666666,36,0,0.0,19,854,0.977751756440281,39,27,0.4444444444444444,0,13,1.0,27,393,0.9312977099236641,0.8202691643175412,21994,21994,21994,9765,0
36,3143,3811,0.17528207819469954,6,36,0.8333333333333334,836,10598,0.9211171919230043,150,846,0.8226950354609929,1272,87,13.620689655172415,923,0,0.0,2545,1737,0.46516983304548076,3,0,0.0,976,1090,0.1045871559633027,13,0,0.0,16,0,0.0,12,0,0.0,5,2246,0.9977738201246661,3,226,0.9867256637168141,78,389,0.7994858611825193,38,0,0.0,21,855,0.9754385964912281,43,28,0.5357142857142858,1,13,0.9230769230769231,27,400,0.9325,0.8173240318397281,22362,22362,22362,10111,0
37,3236,3865,0.16274256144890042,6,36,0.8333333333333334,877,10678,0.9178685147031279,155,846,0.8167848699763594,1348,100,12.48,950,0,0.0,2608,1785,0.46106442577030804,3,0,0.0,1006,1190,0.1546218487394958,13,0,0.0,20,0,0.0,14,0,0.0,5,2298,0.9978241949521323,3,226,0.9867256637168141,82,404,0.7970297029702971,39,0,0.0,21,856,0.9754672897196262,46,28,0.6428571428571428,1,13,0.9230769230769231,31,408,0.9240196078431373,0.8148946465490696,22733,22733,22733,10464,0
38,3325,3918,0.15135273098519653,6,36,0.8333333333333334,907,10758,0.9156906488194831,160,846,0.8108747044917257,1399,112,11.491071428571429,969,0,0.0,2683,1833,0.46372067648663395,3,0,0.0,1038,1290,0.1953488372093023,15,0,0.0,21,0,0.0,15,0,0.0,5,2350,0.997872340425532,4,294,0.9863945578231292,89,431,0.7935034802784222,41,0,0.0,24,858,0.972027972027972,47,28,0.6785714285714286,1,13,0.9230769230769231,33,437,0.9244851258581236,0.8127478021030857,23204,23204,23204,10785,0
39,3443,3971,0.13296398891966754,7,36,0.8055555555555556,940,10838,0.9132681306514117,164,846,0.8061465721040189,1471,125,10.768,996,0,0.0,2747,1881,0.4603934077618288,3,0,0.0,1074,1390,0.22733812949640286,15,0,0.0,25,0,0.0,16,0,0.0,6,2402,0.9975020815986678,5,362,0.9861878453038674,99,459,0.7843137254901961,43,0,0.0,26,859,0.969732246798603,51,28,0.8214285714285714,1,13,0.9230769230769231,38,467,0.9186295503211992,0.8097731976179414,23677,23677,23677,11170,0
