Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
104,20,1,19.0,39,1,38.0,4,441,0.9909,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0972447325769854,617,608,617,152,0
105,20,1,19.0,39,1,38.0,4,441,0.9909,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0972447325769854,617,605,617,152,0
106,20,1,19.0,39,1,38.0,4,442,0.991,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0970873786407767,618,607,618,152,0
107,20,1,19.0,40,1,39.0,4,442,0.991,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.098705501618123,618,606,618,153,0
108,20,1,19.0,41,1,40.0,4,442,0.991,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,8,1,7.0,1.1019417475728155,618,607,618,155,0
109,20,1,19.0,41,1,40.0,4,443,0.991,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,8,1,7.0,1.1017770597738288,619,606,619,155,0
110,20,1,19.0,41,1,40.0,4,443,0.991,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,8,1,7.0,1.1017770597738288,619,601,619,155,0
111,20,1,19.0,41,1,40.0,4,444,0.991,21,155,0.8645,18,10,0.8,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.103225806451613,620,607,620,156,0
112,20,1,19.0,41,1,40.0,4,444,0.991,21,155,0.8645,18,10,0.8,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.103225806451613,620,608,620,156,0
113,20,1,19.0,41,1,40.0,4,445,0.991,21,155,0.8645,18,10,0.8,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.103059581320451,621,613,621,156,0
114,20,1,19.0,41,1,40.0,4,445,0.991,21,155,0.8645,18,10,0.8,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.103059581320451,621,610,621,156,0
115,20,1,19.0,41,1,40.0,4,445,0.991,21,155,0.8645,18,10,0.8,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.103059581320451,621,610,621,156,0
116,20,1,19.0,42,1,41.0,4,446,0.991,21,155,0.8645,19,10,0.9,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.1061093247588425,622,607,622,158,0
