Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
72,9,1,8.0,62,1,61.0,16,413,0.9613,15,146,0.8973,12,10,0.2,7,7,0.0,22,1,21.0,7,1,6.0,3,1,2.0,1.080895008605852,581,555,581,153,0
73,9,1,8.0,62,1,61.0,16,414,0.9614,15,147,0.898,12,10,0.2,8,7,0.1429,22,1,21.0,8,1,7.0,3,1,2.0,1.0840480274442539,583,558,583,155,0
74,9,1,8.0,63,1,62.0,16,415,0.9614,15,147,0.898,12,10,0.2,8,7,0.1429,23,1,22.0,8,1,7.0,3,1,2.0,1.0873287671232876,584,562,584,157,0
75,9,1,8.0,63,1,62.0,16,416,0.9615,15,148,0.8986,12,10,0.2,8,7,0.1429,23,1,22.0,8,1,7.0,3,1,2.0,1.0870307167235496,586,568,586,157,0
76,11,1,10.0,63,1,62.0,16,417,0.9616,15,148,0.8986,12,10,0.2,8,7,0.1429,23,1,22.0,8,1,7.0,3,1,2.0,1.090289608177172,587,571,587,159,0
77,12,1,11.0,63,1,62.0,16,419,0.9618,15,148,0.8986,12,10,0.2,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.0933786078098473,589,569,589,161,0
78,12,1,11.0,63,1,62.0,16,420,0.9619,15,149,0.8993,12,10,0.2,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.093062605752961,591,567,591,161,0
79,12,1,11.0,63,1,62.0,16,421,0.962,15,149,0.8993,13,10,0.3,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.0945945945945945,592,571,592,162,0
80,13,1,12.0,64,1,63.0,16,422,0.9621,15,150,0.9,13,10,0.3,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.0976430976430978,594,576,594,164,0
81,14,1,13.0,65,1,64.0,16,423,0.9622,15,150,0.9,14,10,0.4,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.1025210084033614,595,580,595,167,0
82,15,1,14.0,65,1,64.0,16,425,0.9624,15,150,0.9,14,10,0.4,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.103852596314908,597,581,597,168,0
83,15,1,14.0,65,1,64.0,17,426,0.9601,15,151,0.9007,15,10,0.5,8,7,0.1429,24,1,23.0,8,1,7.0,3,1,2.0,1.1035058430717863,599,583,599,170,0
